model_display,test_site,csmf_accuracy,cod_accuracy
CategoricalNB,AP,0.3434,0.1185
CategoricalNB,Bohol,0.29,0.1052
CategoricalNB,Dar,0.3097,0.0988
CategoricalNB,Mexico,0.2869,0.0784
CategoricalNB,Pemba,0.2533,0.1433
CategoricalNB,UP,0.2569,0.094
InSilicoVA,AP,0.5038,0.2303
InSilicoVA,Bohol,0.4558,0.1968
InSilicoVA,Dar,0.4781,0.2123
InSilicoVA,Mexico,0.4507,0.1739
InSilicoVA,Pemba,0.3933,0.2533
InSilicoVA,UP,0.4816,0.2206
LogisticRegression,AP,0.3269,0.1172
LogisticRegression,Bohol,0.3331,0.1259
LogisticRegression,Dar,0.3331,0.1173
LogisticRegression,Mexico,0.3281,0.0876
LogisticRegression,Pemba,0.2633,0.14
LogisticRegression,UP,0.4271,0.1851
RandomForest,AP,0.3792,0.1845
RandomForest,Bohol,0.2096,0.0861
RandomForest,Dar,0.3214,0.1654
RandomForest,Mexico,0.2804,0.0961
RandomForest,Pemba,0.2733,0.16
RandomForest,UP,0.3702,0.1907
XGBoost,AP,0.4365,0.2114
XGBoost,Bohol,0.2462,0.1108
XGBoost,Dar,0.3754,0.192
XGBoost,Mexico,0.3725,0.134
XGBoost,Pemba,0.3168,0.2367
XGBoost,UP,0.4106,0.2377
