,,execution_time_seconds,execution_time_seconds,execution_time_seconds,execution_time_seconds,execution_time_seconds,tuning_time_seconds,tuning_time_seconds,training_time_seconds,training_time_seconds,inference_time_seconds,inference_time_seconds
,,mean,std,median,min,max,mean,sum,mean,sum,mean,sum
model_display,experiment_type,,,,,,,,,,,
CategoricalNB,in_domain,4591.86,1641.98,5005.86,1618.8,5988.22,4590.77,27544.63,0.06,0.35,0.09,0.52
CategoricalNB,out_domain,6248.04,3084.82,5526.76,1416.71,13092.08,6247.37,187421.17,0.06,1.84,0.09,2.74
CategoricalNB,training_size,3840.44,621.96,3917.6,3080.99,4445.58,3839.45,15357.82,0.05,0.19,0.09,0.36
InSilicoVA,in_domain,101.46,39.52,115.0,23.29,126.88,,0.0,0.0,0.02,101.15,606.88
InSilicoVA,out_domain,191.76,239.59,111.26,30.5,790.58,,0.0,0.0,0.08,191.36,5740.78
InSilicoVA,training_size,787.88,6.78,790.45,778.06,792.56,,0.0,0.0,0.01,787.23,3148.92
LogisticRegression,in_domain,5485.96,790.52,5938.64,4344.16,6056.85,5470.94,32825.65,13.96,83.78,0.07,0.41
LogisticRegression,out_domain,7353.47,3271.85,6053.01,3364.16,14104.57,7224.67,216740.14,128.28,3848.45,0.07,2.12
LogisticRegression,training_size,4458.91,980.29,4534.53,3351.23,5415.34,4228.84,16915.35,4.68,18.73,0.07,0.29
RandomForest,in_domain,5760.66,460.94,5934.99,4824.45,6003.26,5759.12,34554.69,0.37,2.2,0.15,0.88
RandomForest,out_domain,6990.06,3376.96,5513.2,3303.34,14093.04,6989.22,209676.5,0.21,6.3,0.12,3.69
RandomForest,training_size,4625.42,881.92,4786.37,3564.79,5364.17,4624.21,18496.85,0.19,0.76,0.14,0.54
XGBoost,in_domain,5878.83,148.79,5918.83,5637.14,6019.0,5876.22,35257.33,1.47,8.83,0.1,0.62
XGBoost,out_domain,7179.46,3288.94,6020.99,3038.72,13936.77,7177.07,215312.15,1.84,55.22,0.12,3.57
XGBoost,training_size,4782.65,1085.51,4767.15,3505.33,6090.96,4780.88,19123.52,1.23,4.94,0.12,0.46
