experiment_id,experiment_type,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
categorical_nb_in_domain_AP_AP_seed1,in_domain,AP,AP,1,0.7349823321554771,0.4882154882154882,1186,297,0.0793771743774414,,0.04700279235839844,0.02402210235595703,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_AP_AP_seed1,in_domain,AP,AP,1,0.9575971731448764,0.6632996632996633,1186,297,0.2173151969909668,,0.19129300117492676,0.011584997177124023,14678e81dd8026d3029311c8f3c420141512e7060200ed85e34d1b80,0,,,xgboost,1.0,,,,
random_forest_in_domain_AP_AP_seed1,in_domain,AP,AP,1,0.9681978798586572,0.6666666666666666,1186,297,0.231306791305542,,0.16096997261047363,0.05560708045959473,575efe20f957524b3f1b9ea7c4b60825eddab0ae76031dc461c12fe3,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_AP_AP_seed1,in_domain,AP,AP,1,0.8515901060070672,0.6464646464646465,1186,297,0.24486494064331055,,0.22313785552978516,0.006730794906616211,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,logistic_regression,1.0,,,,
categorical_nb_in_domain_Bohol_Bohol_seed1,in_domain,Bohol,Bohol,1,0.26337448559670784,0.1553784860557769,1001,251,0.08506608009338379,,0.04171895980834961,0.02069091796875,14678e81dd8026d3029311c8f3c420141512e7060200ed85e34d1b80,0,,,categorical_nb,1.0,,,,
logistic_regression_in_domain_Bohol_Bohol_seed1,in_domain,Bohol,Bohol,1,0.831275720164609,0.4940239043824701,1001,251,0.22727680206298828,,0.1864638328552246,0.006204128265380859,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
random_forest_in_domain_Bohol_Bohol_seed1,in_domain,Bohol,Bohol,1,0.8436213991769548,0.6414342629482072,1001,251,0.3380436897277832,,0.11981320381164551,0.03551006317138672,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,random_forest,1.0,,,,
xgboost_in_domain_Bohol_Bohol_seed1,in_domain,Bohol,Bohol,1,0.9711934156378601,0.6254980079681275,1001,251,0.3454892635345459,,0.16181492805480957,0.011116981506347656,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,xgboost,1.0,,,,
random_forest_in_domain_Dar_Dar_seed1,in_domain,Dar,Dar,1,0.9364548494983278,0.75,1293,324,0.19206023216247559,,0.12574481964111328,0.057003021240234375,14678e81dd8026d3029311c8f3c420141512e7060200ed85e34d1b80,0,,,random_forest,1.0,,,,
xgboost_in_domain_Dar_Dar_seed1,in_domain,Dar,Dar,1,0.9632107023411371,0.7716049382716049,1293,324,0.32533788681030273,,0.2145988941192627,0.012719154357910156,575efe20f957524b3f1b9ea7c4b60825eddab0ae76031dc461c12fe3,0,,,xgboost,1.0,,,,
logistic_regression_in_domain_Dar_Dar_seed1,in_domain,Dar,Dar,1,0.8160535117056855,0.7129629629629629,1293,324,0.2651231288909912,,0.24190282821655273,0.0068280696868896484,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
categorical_nb_in_domain_Dar_Dar_seed1,in_domain,Dar,Dar,1,0.3612040133779262,0.3055555555555556,1293,324,0.2957487106323242,,0.054216861724853516,0.027888059616088867,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,categorical_nb,1.0,,,,
categorical_nb_in_domain_Mexico_Mexico_seed1,in_domain,Mexico,Mexico,1,0.5117056856187291,0.34967320261437906,1222,306,0.0771799087524414,,0.05006885528564453,0.02367997169494629,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_Mexico_Mexico_seed1,in_domain,Mexico,Mexico,1,0.9565217391304347,0.6895424836601307,1222,306,0.4148447513580322,,0.18879389762878418,0.012563943862915039,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,xgboost,1.0,,,,
random_forest_in_domain_Mexico_Mexico_seed1,in_domain,Mexico,Mexico,1,0.8160535117056856,0.6895424836601307,1222,306,0.2650907039642334,,0.11235618591308594,0.05998802185058594,575efe20f957524b3f1b9ea7c4b60825eddab0ae76031dc461c12fe3,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_Mexico_Mexico_seed1,in_domain,Mexico,Mexico,1,0.822742474916388,0.6111111111111112,1222,306,0.32138514518737793,,0.23278594017028809,0.006480216979980469,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_Pemba_Pemba_seed1,in_domain,Pemba,Pemba,1,0.8627450980392157,0.75,237,60,0.1677379608154297,,0.08400321006774902,0.005928993225097656,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,xgboost,1.0,,,,
categorical_nb_in_domain_Pemba_Pemba_seed1,in_domain,Pemba,Pemba,1,0.5686274509803921,0.5,237,60,0.02704000473022461,,0.014602184295654297,0.008647918701171875,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,categorical_nb,1.0,,,,
random_forest_in_domain_Pemba_Pemba_seed1,in_domain,Pemba,Pemba,1,0.9019607843137255,0.6833333333333333,237,60,0.13631200790405273,,0.09411811828613281,0.03290390968322754,575efe20f957524b3f1b9ea7c4b60825eddab0ae76031dc461c12fe3,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_Pemba_Pemba_seed1,in_domain,Pemba,Pemba,1,0.9019607843137255,0.6166666666666667,237,60,0.06662678718566895,,0.03997302055358887,0.0042531490325927734,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
