experiment_id,experiment_type,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
categorical_nb_out_domain_AP_Bohol_seed1,out_domain,AP,Bohol,1,0.3466135458167331,0.15139442231075698,1186,251,0.09609413146972656,,0.06732606887817383,0.024470090866088867,3c635dd4370289477db7266b44105a498e0a392633853edbb6c35925,0,,,categorical_nb,1.0,,,,
random_forest_out_domain_AP_Bohol_seed1,out_domain,AP,Bohol,1,0.22310756972111556,0.0796812749003984,1186,251,0.30403685569763184,,0.23303818702697754,0.0585329532623291,7b93a78ac598bd63e90945b013a58fb1ee51038a706422a51ecda6d6,0,,,random_forest,1.0,,,,
random_forest_out_domain_AP_Dar_seed1,out_domain,AP,Dar,1,0.2901234567901234,0.11419753086419752,1186,324,0.323225736618042,,0.24422693252563477,0.07143187522888184,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,random_forest,1.0,,,,
categorical_nb_out_domain_AP_Dar_seed1,out_domain,AP,Dar,1,0.27469135802469147,0.05555555555555555,1186,324,0.14673089981079102,,0.07237911224365234,0.030601978302001953,7b93a78ac598bd63e90945b013a58fb1ee51038a706422a51ecda6d6,0,,,categorical_nb,1.0,,,,
xgboost_out_domain_AP_Dar_seed1,out_domain,AP,Dar,1,0.2530864197530863,0.11419753086419752,1186,324,0.8679428100585938,,0.8219039440155029,0.034258127212524414,086379252baf3ef814a6dbe1a98dc7c5eff1beac407ff05acd2fbd36,0,,,xgboost,1.0,,,,
xgboost_out_domain_AP_Bohol_seed1,out_domain,AP,Bohol,1,0.23904382470119523,0.11155378486055777,1186,251,0.8666810989379883,,0.8286190032958984,0.026905059814453125,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,xgboost,1.0,,,,
logistic_regression_out_domain_AP_Dar_seed1,out_domain,AP,Dar,1,0.25617283950617276,0.04938271604938271,1186,324,1.0598368644714355,,1.0123016834259033,0.006350040435791016,3c635dd4370289477db7266b44105a498e0a392633853edbb6c35925,0,,,logistic_regression,1.0,,,,
logistic_regression_out_domain_AP_Bohol_seed1,out_domain,AP,Bohol,1,0.19521912350597614,0.027888446215139442,1186,251,1.1626970767974854,,1.1463968753814697,0.0057718753814697266,0f14c0881292f54da5f75179e318efb789737cd09591a45c402e6361,0,,,logistic_regression,1.0,,,,
random_forest_out_domain_AP_Mexico_seed1,out_domain,AP,Mexico,1,0.5522875816993464,0.1503267973856209,1186,306,0.2741048336029053,,0.1461319923400879,0.059908151626586914,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,random_forest,1.0,,,,
categorical_nb_out_domain_AP_Mexico_seed1,out_domain,AP,Mexico,1,0.32352941176470595,0.06535947712418301,1186,306,0.11332297325134277,,0.07257080078125,0.026587247848510742,3c635dd4370289477db7266b44105a498e0a392633853edbb6c35925,0,,,categorical_nb,1.0,,,,
xgboost_out_domain_AP_Mexico_seed1,out_domain,AP,Mexico,1,0.6699346405228759,0.24836601307189543,1186,306,1.052389144897461,,0.9828989505767822,0.032553911209106445,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,xgboost,1.0,,,,
random_forest_out_domain_AP_Pemba_seed1,out_domain,AP,Pemba,1,0.34999999999999987,0.23333333333333334,1186,60,0.2777903079986572,,0.1355912685394287,0.0561678409576416,3c635dd4370289477db7266b44105a498e0a392633853edbb6c35925,0,,,random_forest,1.0,,,,
logistic_regression_out_domain_AP_Mexico_seed1,out_domain,AP,Mexico,1,0.48692810457516345,0.13071895424836602,1186,306,0.9880940914154053,,0.9137587547302246,0.006066083908081055,086379252baf3ef814a6dbe1a98dc7c5eff1beac407ff05acd2fbd36,0,,,logistic_regression,1.0,,,,
