experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_Pemba_Pemba_size0.7,in_domain,Pemba,Pemba,0.2666666666666666,0.18333333333333332,"[0.15291666666666656, 0.3499999999999999]","[0.11208333333333334, 0.28791666666666665]",237,60,0.32086682319641113,,0.23740005493164062,0.06787610054016113,98bbd54db6dfdaf38df2cbb6cbe530463573b40f062c3907dd9b5e48,0,,,ensemble,1.0,0.15291666666666656,0.3499999999999999,0.11208333333333334,0.28791666666666665
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_Bohol_Bohol_size0.7,in_domain,Bohol,Bohol,0.254980079681275,0.10756972111553785,"[0.19083665338645442, 0.2974103585657371]","[0.07350597609561754, 0.14053784860557766]",1001,251,0.4709799289703369,,0.35047078132629395,0.10334515571594238,3f55b59f99fdd4eb3217041ad3458592b602d111446eb9f85e017526,0,,,ensemble,1.0,0.19083665338645442,0.2974103585657371,0.07350597609561754,0.14053784860557766
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_Pemba_size0.7,out_domain,Mexico,Pemba,0.2833333333333333,0.21666666666666667,"[0.19999999999999996, 0.38333333333333336]","[0.13333333333333333, 0.3333333333333333]",1222,60,0.4856722354888916,,0.38648104667663574,0.08154487609863281,c46d67863b5e144ba7aac4248d4179354a428b096daafe3e75122f1f,0,,,ensemble,1.0,0.19999999999999996,0.38333333333333336,0.13333333333333333,0.3333333333333333
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_UP_UP_size0.7,in_domain,UP,UP,0.775,0.4377224199288256,"[0.6926674504321302, 0.7866964285714285]","[0.38656583629893243, 0.474288256227758]",1124,281,0.47308802604675293,,0.3426949977874756,0.11124110221862793,d4e4d13974f27f135f95925e335ff32bdc43bf4ac5cce5e6ae7e48a7,0,,,ensemble,1.0,0.6926674504321302,0.7866964285714285,0.38656583629893243,0.474288256227758
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.43790849673202614,0.19934640522875818,"[0.3852941176470589, 0.4616830065359478]","[0.15359477124183007, 0.2394607843137255]",1222,306,0.4754140377044678,,0.355806827545166,0.10455894470214844,6420d3dec44dd95ef70de3fa5940b70c29fad6580dfb68a082df0e5e,0,,,ensemble,1.0,0.3852941176470589,0.4616830065359478,0.15359477124183007,0.2394607843137255
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_Bohol_size0.7,out_domain,Mexico,Bohol,0.13147410358565748,0.05976095617529881,"[0.09850597609561766, 0.1633466135458168]","[0.03187250996015936, 0.08187250996015935]",1222,251,0.4834170341491699,,0.36712193489074707,0.10103607177734375,5091e3bb508038ea034f28b20fb27ea6765cd5c8e1453388c01ef716,0,,,ensemble,1.0,0.09850597609561766,0.1633466135458168,0.03187250996015936,0.08187250996015935
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.5912162162162162,0.30976430976430974,"[0.5078109359359358, 0.617652027027027]","[0.2564814814814815, 0.35353535353535354]",1186,297,0.48467397689819336,,0.3628959655761719,0.10588192939758301,7d4664e5291cf8ac5c74332438f67aef4aad7eee0db2862f7f8a0c11,0,,,ensemble,1.0,0.5078109359359358,0.617652027027027,0.2564814814814815,0.35353535353535354
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.4092526690391458,0.18149466192170818,"[0.35, 0.4539145907473309]","[0.13425266903914593, 0.2206405693950178]",1222,281,0.4893491268157959,,0.3673121929168701,0.10338783264160156,3fe6da36d08bc35ba5821d99f0e3b2d11b799202ca80641eb46ac4bd,0,,,ensemble,1.0,0.35,0.4539145907473309,0.13425266903914593,0.2206405693950178
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.44107744107744107,0.13468013468013468,"[0.37247474747474746, 0.4855218855218854]","[0.1015993265993266, 0.1803030303030303]",1222,297,0.49172401428222656,,0.3565938472747803,0.1188669204711914,9de28bb0b45cb50a2ab952b4f64d3d823ef59c5c8663e52e0813aab1,0,,,ensemble,1.0,0.37247474747474746,0.4855218855218854,0.1015993265993266,0.1803030303030303
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_Dar_Dar_size0.7,in_domain,Dar,Dar,0.31269349845201244,0.16666666666666666,"[0.26257716049382723, 0.3513117283950618]","[0.1363425925925926, 0.21689814814814815]",1293,324,0.5122737884521484,,0.3863859176635742,0.11108922958374023,b3f1bcae0f0caf413b62964fc18c056cab14f035c9567367874dc476,0,,,ensemble,1.0,0.26257716049382723,0.3513117283950618,0.1363425925925926,0.21689814814814815
