experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_UP_UP_size0.7,in_domain,UP,UP,0.775,0.4377224199288256,"[0.6926674504321302, 0.7866964285714285]","[0.38656583629893243, 0.474288256227758]",1124,281,0.4391448497772217,,0.2976410388946533,0.13087010383605957,76aa1b134219d6d9be818e1bfdd6fa25bdfde6344335dae0d45b7ac7,0,,,ensemble,1.0,0.6926674504321302,0.7866964285714285,0.38656583629893243,0.474288256227758
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.43790849673202614,0.19934640522875818,"[0.3852941176470589, 0.4616830065359478]","[0.15359477124183007, 0.2394607843137255]",1222,306,0.4410271644592285,,0.3062252998352051,0.12621068954467773,66e685755865b186e5f833cb77c210e007aa494c11c77e1b79401b32,0,,,ensemble,1.0,0.3852941176470589,0.4616830065359478,0.15359477124183007,0.2394607843137255
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.44107744107744107,0.13468013468013468,"[0.37247474747474746, 0.4855218855218854]","[0.1015993265993266, 0.1803030303030303]",1222,297,0.47606778144836426,,0.34587597846984863,0.10675573348999023,3addc3f1f9330268a75a0a5cbd1ad4a7b009dbd2cd338674e4217d4c,0,,,ensemble,1.0,0.37247474747474746,0.4855218855218854,0.1015993265993266,0.1803030303030303
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.34967320261437906,0.0915032679738562,"[0.3006535947712418, 0.37941176470588245]","[0.0644607843137255, 0.10874183006535948]",1186,306,0.4807779788970947,,0.3448929786682129,0.11122918128967285,762dbff61b4addb00572b46c68efb51e1269786b4c7af2e5d27991ab,0,,,ensemble,1.0,0.3006535947712418,0.37941176470588245,0.0644607843137255,0.10874183006535948
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.4092526690391458,0.18149466192170818,"[0.35, 0.4539145907473309]","[0.13425266903914593, 0.2206405693950178]",1222,281,0.48636794090270996,,0.32576489448547363,0.13745713233947754,32b7848ae16d54c374005792eea3cb40fc704701b8b086352f1ca6a8,0,,,ensemble,1.0,0.35,0.4539145907473309,0.13425266903914593,0.2206405693950178
ensemble_soft_none_size3_xgb_rf_cnb_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.5912162162162162,0.30976430976430974,"[0.5078109359359358, 0.617652027027027]","[0.2564814814814815, 0.35353535353535354]",1186,297,0.4983401298522949,,0.3502058982849121,0.12372517585754395,83ebb6500a40686bae94ef122fce447ac220e1e75e7093c1f1307f40,0,,,ensemble,1.0,0.5078109359359358,0.617652027027027,0.2564814814814815,0.35353535353535354
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_UP_AP_size0.7,out_domain,UP,AP,0.7162162162162162,0.31313131313131315,"[0.6351351351351351, 0.7380587974337974]","[0.25892255892255894, 0.3722222222222222]",1124,297,0.41825199127197266,,0.30173587799072266,0.10944795608520508,baea9e64ded48ab102b01add0d114ffcd86a1174792626cf002830a0,0,,,ensemble,1.0,0.6351351351351351,0.7380587974337974,0.25892255892255894,0.3722222222222222
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_UP_Mexico_size0.7,out_domain,UP,Mexico,0.5882352941176471,0.20588235294117646,"[0.5032679738562091, 0.6194444444444445]","[0.15089869281045754, 0.23300653594771237]",1124,306,0.4242222309112549,,0.3011360168457031,0.11543393135070801,6eb17cd0fd76b8a44bdce33cb78cfeb395ea3cd9afb5fe9157243f2a,0,,,ensemble,1.0,0.5032679738562091,0.6194444444444445,0.15089869281045754,0.23300653594771237
ensemble_soft_none_size3_xgb_rf_cnb_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.5729537366548043,0.26334519572953735,"[0.47998220640569395, 0.5946619217081851]","[0.2054270462633452, 0.29572953736654806]",1186,281,0.4540228843688965,,0.31940197944641113,0.10480785369873047,0f366e1fa2b34c4b0847b41f024133a8be32e9983633a7df36093d50,0,,,ensemble,1.0,0.47998220640569395,0.5946619217081851,0.2054270462633452,0.29572953736654806
ensemble_soft_none_size5_xgb_rf_ins_cnb_lr_in_domain_UP_UP_size0.7,in_domain,UP,UP,0.8464285714285714,0.4875444839857651,"[0.775, 0.8509821428571428]","[0.42731316725978646, 0.5302491103202847]",1124,281,317.14618015289307,,198.4837350845337,118.56934881210327,83ebb6500a40686bae94ef122fce447ac220e1e75e7093c1f1307f40,0,,,ensemble,1.0,0.775,0.8509821428571428,0.42731316725978646,0.5302491103202847
