experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
insilico_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8813559322033898,0.5333333333333333,"[0.7434614260666277, 0.8983050847457628]","[0.43333333333333335, 0.6587499999999998]",237,60,23.285893201828003,,0.0021698474884033203,22.990496158599854,5d3541e968fecb6e0fe14e7cbafd3f18fbde268ee519930577533aad,0,,insilico,1.0,0.7434614260666277,0.8983050847457628,0.43333333333333335,0.6587499999999998
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.23333333333333334,"[0.22458333333333336, 0.44999999999999996]","[0.13250000000000006, 0.3333333333333333]",1186,60,33.16801309585571,,0.003757953643798828,32.838834047317505,d99b115dbf5f5ddfb25a7c206c74e35af03994849ef8ca7894b2165e,0,,insilico,1.0,0.22458333333333336,0.44999999999999996,0.13250000000000006,0.3333333333333333
insilico_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.712,0.32270916334661354,"[0.6259, 0.7461]","[0.25876494023904384, 0.3925298804780876]",1001,251,102.0242030620575,,0.0026178359985351562,101.60368704795837,d32fb982c33b4693c2953c083460df83d7fe7f7438a5427688ba3463,0,,insilico,1.0,0.6259,0.7461,0.25876494023904384,0.3925298804780876
insilico_out_domain_AP_Bohol_size1.0,out_domain,AP,Bohol,0.6135458167330677,0.23904382470119523,"[0.5397410358565736, 0.6693227091633467]","[0.18914342629482073, 0.29691235059760956]",1186,251,100.92807984352112,,0.0025529861450195312,100.62801790237427,90b53311415740901587d3a7d8c31bc5dd50b603f59a421d35fed4e3,0,,insilico,1.0,0.5397410358565736,0.6693227091633467,0.18914342629482073,0.29691235059760956
insilico_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.8678571428571429,0.4697508896797153,"[0.7678571428571428, 0.8659120583717358]","[0.41806049822064056, 0.5249999999999999]",1124,281,109.76077818870544,,0.002393007278442383,109.44048714637756,ce3cddfbb0d96dc4c3e907d339acf6b74c75edea36156c84596b27d4,0,,insilico,1.0,0.7678571428571428,0.8659120583717358,0.41806049822064056,0.5249999999999999
insilico_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6638524590163934, 0.765655737704918]","[0.3006535947712418, 0.4138071895424835]",1222,306,120.23133683204651,,0.0028162002563476562,119.95917677879333,630e9932557eb46d95172604674c696d28710fd715afd7cdefa048ac,0,,insilico,1.0,0.6638524590163934,0.765655737704918,0.3006535947712418,0.4138071895424835
insilico_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7972972972972974,0.4276094276094276,"[0.7245777027027027, 0.81626001001001]","[0.37373737373737376, 0.4765151515151515]",1186,297,126.88442277908325,,0.0025370121002197266,126.39295816421509,118e1cb5d408571e28fbf34850de2680a7d6fef26f257d0051fbb638,0,,insilico,1.0,0.7245777027027027,0.81626001001001,0.37373737373737376,0.4765151515151515
insilico_in_domain_Dar_Dar_size1.0,in_domain,Dar,Dar,0.7987616099071208,0.3487654320987654,"[0.7160493827160495, 0.8114515250544663]","[0.2993827160493827, 0.39668209876543203]",1293,324,126.56883692741394,,0.002577066421508789,126.49226021766663,4ba40794c2cecde3cd52996c90461464b8fc579c306b1f8efc11c9c6,0,,insilico,1.0,0.7160493827160495,0.8114515250544663,0.2993827160493827,0.39668209876543203
insilico_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5816993464052287,0.2581699346405229,"[0.5111928104575164, 0.6129901960784313]","[0.20743464052287583, 0.30236928104575156]",1186,306,125.46424007415771,,0.002668142318725586,125.22621178627014,c47f924df1111667f05cfb176657d604d47bd337975923dc0bc5298c,0,,insilico,1.0,0.5111928104575164,0.6129901960784313,0.20743464052287583,0.30236928104575156
insilico_out_domain_AP_Dar_size1.0,out_domain,AP,Dar,0.5061728395061729,0.2345679012345679,"[0.43356481481481474, 0.5401234567901234]","[0.18665123456790123, 0.27793209876543207]",1186,324,128.53657984733582,,0.00273895263671875,128.21644377708435,479f6b2014910b725b3e19d33369771ef92a26888cfac8c578ae8ea1,0,,insilico,1.0,0.43356481481481474,0.5401234567901234,0.18665123456790123,0.27793209876543207
categorical_nb_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.28104575163398693,0.12418300653594772,"[0.2222222222222222, 0.32851307189542484]","[0.08496732026143791, 0.1651143790849673]",1222,306,1618.800117969513,1617.955307006836,0.06487393379211426,0.0923147201538086,91fd3cf620f51ebfa157b454e419e0ba887721032d79fa254f54e0e7,0,,categorical_nb,1.0,0.2222222222222222,0.32851307189542484,0.08496732026143791,0.1651143790849673
