site,model,csmf_accuracy,cod_accuracy,n_train,n_test
Mexico,categorical_nb,0.5117056856187291,0.3137254901960784,1222,306
AP,categorical_nb,0.7208480565371025,0.5151515151515151,1186,297
UP,categorical_nb,0.8582677165354331,0.6548042704626335,1124,281
Dar,categorical_nb,0.3143812709030099,0.2808641975308642,1293,324
Bohol,categorical_nb,0.2469135802469135,0.147410358565737,1001,251
Pemba,categorical_nb,0.5490196078431373,0.5166666666666667,237,60
Mexico,random_forest,0.7959866220735786,0.6503267973856209,1222,306
AP,random_forest,0.9681978798586572,0.622895622895623,1186,297
UP,random_forest,0.968503937007874,0.7224199288256228,1124,281
Dar,random_forest,0.939799331103679,0.7314814814814815,1293,324
Bohol,random_forest,0.8806584362139918,0.601593625498008,1001,251
Pemba,random_forest,0.9411764705882352,0.7333333333333333,237,60
Mexico,xgboost,0.959866220735786,0.6797385620915033,1222,306
AP,xgboost,0.9717314487632508,0.6666666666666666,1186,297
UP,xgboost,0.9763779527559056,0.7437722419928826,1124,281
Dar,xgboost,0.9899665551839464,0.7561728395061729,1293,324
Bohol,xgboost,0.9670781893004116,0.5936254980079682,1001,251
Pemba,xgboost,0.9411764705882352,0.7333333333333333,237,60
Mexico,logistic_regression,0.8093645484949833,0.5947712418300654,1222,306
AP,logistic_regression,0.8869257950530035,0.6902356902356902,1186,297
UP,logistic_regression,0.9409448818897638,0.7259786476868327,1124,281
Dar,logistic_regression,0.7692307692307693,0.6635802469135802,1293,324
Bohol,logistic_regression,0.7818930041152263,0.4541832669322709,1001,251
Pemba,logistic_regression,0.823529411764706,0.6833333333333333,237,60
AP,insilico,0.8904593639575972,0.5791245791245792,1186,297
Mexico,insilico,0.8595317725752508,0.5816993464052288,1222,306
Dar,insilico,0.923076923076923,0.7098765432098766,1293,324
UP,insilico,0.9251968503937008,0.6512455516014235,1124,281
Pemba,insilico,0.8627450980392157,0.6833333333333333,237,60
Bohol,insilico,0.8600823045267489,0.4780876494023904,1001,251
