site,model,csmf_accuracy,cod_accuracy,n_train,n_test
Mexico,xgboost,0.8594771241830066,0.4411764705882353,1222,306
AP,xgboost,0.8783783783783784,0.4713804713804714,1186,297
UP,xgboost,0.8964285714285715,0.505338078291815,1124,281
Dar,xgboost,0.9071207430340558,0.4228395061728395,1293,324
Bohol,xgboost,0.844621513944223,0.3466135458167331,1001,251
Pemba,xgboost,0.9152542372881356,0.6166666666666667,237,60
UP,insilico,0.8678571428571429,0.4697508896797153,1124,281
Mexico,insilico,0.7409836065573772,0.3562091503267974,1222,306
AP,insilico,0.7972972972972974,0.4276094276094276,1186,297
Dar,insilico,0.7987616099071208,0.3487654320987654,1293,324
Bohol,insilico,0.712,0.3227091633466135,1001,251
Pemba,insilico,0.8813559322033898,0.5333333333333333,237,60
