experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.8571428571428572,0.5124555160142349,"[0.773932384341637, 0.8556939501779359]","[0.46601423487544485, 0.5748220640569395]",1124,281,225.0405821800232,220.7453212738037,3.628230094909668,0.19045186042785645,f989192b327886aec7c214f4f074d8af58146929727f2f5af733459f,0,,xgboost,1.0,0.773932384341637,0.8556939501779359,0.46601423487544485,0.5748220640569395
xgboost_out_domain_Mexico_Dar_size1.0,out_domain,Mexico,Dar,0.41176470588235303,0.25925925925925924,"[0.3578703703703704, 0.4474458204334365]","[0.22060185185185185, 0.30100308641975304]",1222,324,277.54668498039246,269.22486996650696,7.623813152313232,0.18477320671081543,7efa3417784f0740012d23e061284e8c638fb339e6e87d76cc46621a,0,,xgboost,1.0,0.3578703703703704,0.4474458204334365,0.22060185185185185,0.30100308641975304
xgboost_out_domain_UP_Dar_size1.0,out_domain,UP,Dar,0.22222222222222232,0.14814814814814814,"[0.1679783950617284, 0.25470679012345676]","[0.1109567901234568, 0.18209876543209877]",1124,324,259.32803988456726,254.25313305854797,4.483004093170166,0.14593100547790527,6e801e31a9aaa676b400135a52b6c81f4a0eba68b885bc79172c4c50,0,,xgboost,1.0,0.1679783950617284,0.25470679012345676,0.1109567901234568,0.18209876543209877
xgboost_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.848605577689243,0.4103585657370518,"[0.7649402390438247, 0.8565737051792829]","[0.3604581673306773, 0.46613545816733065]",1001,251,345.33886194229126,338.1733729839325,6.466227054595947,0.22326111793518066,0009e44cb741e040223fc9e71ead10e84f50878d4941a33764f593d5,0,,xgboost,1.0,0.7649402390438247,0.8565737051792829,0.3604581673306773,0.46613545816733065
xgboost_out_domain_UP_Pemba_size1.0,out_domain,UP,Pemba,0.5,0.25,"[0.35, 0.5920833333333332]","[0.14125000000000004, 0.36666666666666664]",1124,60,340.48446583747864,337.4386489391327,2.258136034011841,0.0791018009185791,321fb4f409641e1b858b8c050687b6d256e76f3eb4e2265c457e3e5c,0,,xgboost,1.0,0.35,0.5920833333333332,0.14125000000000004,0.36666666666666664
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.4666666666666668,0.3,"[0.3333333333333333, 0.5587499999999999]","[0.2, 0.4166666666666667]",1222,60,365.5866611003876,362.361310005188,2.646723985671997,0.07360005378723145,86ec4d8720fca26ef64645473d62b749ead2bf48d86620aaaac6ac0d,0,,xgboost,1.0,0.3333333333333333,0.5587499999999999,0.2,0.4166666666666667
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.042483660130718914,0.013071895424836602,"[0.022875816993464023, 0.0736111111111111]","[0.0032679738562091504, 0.02785947712418298]",237,306,319.46038699150085,318.097864151001,0.885606050491333,0.09788632392883301,57a017d63af35948fe71a7017d5a678ee725b7e6b5c20216edb49bce,0,,xgboost,1.0,0.022875816993464023,0.0736111111111111,0.0032679738562091504,0.02785947712418298
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.17905405405405406,0.030303030303030304,"[0.14189189189189177, 0.22297297297297292]","[0.016835016835016835, 0.048905723905723876]",237,297,311.1443250179291,310.1002531051636,0.4652369022369385,0.09460234642028809,918b1a69b33aec03cfe152540dc5a38bf93f9f6ee999a21387508ce7,0,,xgboost,1.0,0.14189189189189177,0.22297297297297292,0.016835016835016835,0.048905723905723876
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666666,0.26666666666666666,"[0.23333333333333328, 0.44208333333333316]","[0.16666666666666666, 0.35]",1186,60,394.69960498809814,391.64123487472534,2.79152512550354,0.07705092430114746,42069ae1d05dbce1aab191adfe21c67cc61b2410f89ec09f7e559d0b,0,,xgboost,1.0,0.23333333333333328,0.44208333333333316,0.16666666666666666,0.35
xgboost_out_domain_AP_UP_size1.0,out_domain,AP,UP,0.39145907473309605,0.20640569395017794,"[0.3096085409252668, 0.4094306049822063]","[0.16183274021352315, 0.2526690391459075]",1186,281,409.5501570701599,403.7827236652374,5.430281162261963,0.14731478691101074,a94f6548a4b6d71f226a03136395c19505b0d2da1d930547c5125b70,0,,xgboost,1.0,0.3096085409252668,0.4094306049822063,0.16183274021352315,0.2526690391459075
