experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.9152542372881356,0.6166666666666667,"[0.7843439509059029, 0.9277207850133808]","[0.5779166666666666, 0.7554166666666667]",237,60,0.20221900939941406,,0.13152694702148438,0.03742098808288574,a7d65bfb895c272c6a70897969864905640d5780556fec4a1f7a34d0,0,,xgboost,1.0,0.7843439509059029,0.9277207850133808,0.5779166666666666,0.7554166666666667
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8594771241830066,0.4411764705882353,"[0.7790838958534234, 0.8445261437908497]","[0.40236928104575165, 0.4766339869281046]",1222,306,0.8400242328643799,,0.7599191665649414,0.05379199981689453,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,1.0,0.7790838958534234,0.8445261437908497,0.40236928104575165,0.4766339869281046
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8783783783783784,0.4713804713804714,"[0.7915182227682227, 0.855108801983802]","[0.4272727272727273, 0.5050505050505051]",1186,297,0.865056037902832,,0.7828619480133057,0.05014514923095703,260ba34d61e350c2b130456b3e1fce028f6ac2909f52a58447c38789,0,,xgboost,1.0,0.7915182227682227,0.855108801983802,0.4272727272727273,0.5050505050505051
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.45608108108108114,0.20875420875420875,"[0.4152163527163527, 0.4722026003276004]","[0.17996632996632997, 0.25286195286195284]",237,297,0.13735699653625488,,0.11121511459350586,0.019691944122314453,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,1.0,0.4152163527163527,0.4722026003276004,0.17996632996632997,0.25286195286195284
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.8529411764705883,0.34967320261437906,"[0.7658496732026143, 0.8547385620915032]","[0.31699346405228757, 0.38562091503267976]",305,306,0.2752413749694824,,0.1956181526184082,0.022630929946899414,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,0.25,0.7658496732026143,0.8547385620915032,0.31699346405228757,0.38562091503267976
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.826797385620915,0.35947712418300654,"[0.7360294117647059, 0.805718954248366]","[0.31666666666666665, 0.37287581699346406]",611,306,0.44209885597229004,,0.3973379135131836,0.030318021774291992,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,xgboost,0.5,0.7360294117647059,0.805718954248366,0.31666666666666665,0.37287581699346406
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.3431372549019608,0.09803921568627451,"[0.2934640522875818, 0.3757352941176471]","[0.07589869281045751, 0.12851307189542485]",237,306,0.2240591049194336,,0.14014101028442383,0.07201814651489258,d74d858ea47b9ffd9f0af7f383c16ce01ce1d28422bf2e85a4388943,0,,xgboost,1.0,0.2934640522875818,0.3757352941176471,0.07589869281045751,0.12851307189542485
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.45000000000000007,0.35,"[0.30208333333333337, 0.5333333333333333]","[0.26125, 0.44625000000000004]",1222,60,0.8215181827545166,,0.7856500148773193,0.0247039794921875,a5d27138c911c0a0fd14b6927fb84be2379571e9c8d49b57b348cd32,0,,xgboost,1.0,0.30208333333333337,0.5333333333333333,0.26125,0.44625000000000004
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.44999999999999996,0.3,"[0.37041666666666667, 0.5]","[0.2870833333333333, 0.37958333333333333]",1186,60,0.8347868919372559,,0.7935700416564941,0.027949094772338867,f1065e5afcadbafedf71932cd987809199d39f25de71f349ab39fdd5,0,,xgboost,1.0,0.37041666666666667,0.5,0.2870833333333333,0.37958333333333333
xgboost_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.7601351351351351,0.3468013468013468,"[0.6854377104377104, 0.7607610451360451]","[0.3214646464646465, 0.38644781144781143]",1222,297,1.0032823085784912,,0.9460768699645996,0.04473614692687988,fa0bcbdfde6a18c030c472808bfc9e76bc6f0b9c410cbd7a0cc175f3,0,,xgboost,1.0,0.6854377104377104,0.7607610451360451,0.3214646464646465,0.38644781144781143
